timestamp,ssid,mac,channel,rssi,authmode,hidden
'1609027709','BVG Wi-Fi','00:81:C4:91:11:70','1','-73','0', '0'
'1609027709','qwerz','00:81:C4:91:11:72','1','-73','3', '0'
'1609027709','BVG Wi-Fi','00:81:C4:6E:6E:30','6','-72','0', '0'
'1609027710','qwerz','00:81:C4:6E:6E:32','6','-73','3', '0'
'1609027710','BVG Wi-Fi','00:81:C4:F8:8E:40','11','-43','0', '0'
'1609027710','qwerz','00:81:C4:F8:8E:42','11','-48','3', '0'
'1609027710','BVG Wi-Fi','00:81:C4:90:D3:90','11','-87','0', '0'
'1609027710','qwerz','00:81:C4:90:D3:92','11','-87','3', '0'
'1609027715','BVG Wi-Fi','00:81:C4:91:11:70','1','-77','0', '0'
'1609027715','qwerz','00:81:C4:91:11:72','1','-76','3', '0'
'1609027715','BVG Wi-Fi','00:81:C4:6E:6E:30','6','-69','0', '0'
'1609027715','qwerz','00:81:C4:6E:6E:32','6','-69','3', '0'
'1609027715','BVG Wi-Fi','00:81:C4:F8:8E:40','11','-58','0', '0'
'1609027716','qwerz','00:81:C4:F8:8E:42','11','-56','3', '0'
'1609027716','BVG Wi-Fi','00:81:C4:90:D3:90','11','-89','0', '0'
'1609027716','qwerz','00:81:C4:90:D3:92','11','-86','3', '0'
'1609027721','BVG Wi-Fi','00:81:C4:91:11:70','1','-75','0', '0'
'1609027722','qwerz','00:81:C4:91:11:72','1','-75','3', '0'
'1609027722','BVG Wi-Fi','00:81:C4:6E:6E:30','6','-70','0', '0'
'1609027722','qwerz','00:81:C4:6E:6E:32','6','-70','3', '0'
'1609027722','BVG Wi-Fi','00:81:C4:F8:8E:40','11','-57','0', '0'
'1609027722','qwerz','00:81:C4:F8:8E:42','11','-59','3', '0'
'1609027722','qwerz','00:81:C4:90:D3:92','11','-89','3', '0'
'1609027727','BVG Wi-Fi','00:81:C4:91:11:70','1','-76','0', '0'
'1609027727','qwerz','00:81:C4:91:11:72','1','-75','3', '0'
'1609027727','BVG Wi-Fi','00:81:C4:6E:6E:30','6','-73','0', '0'
'1609027728','qwerz','00:81:C4:6E:6E:32','6','-73','3', '0'
'1609027728','BVG Wi-Fi','00:81:C4:F8:8E:40','11','-41','0', '0'
'1609027728','qwerz','00:81:C4:F8:8E:42','11','-51','3', '0'
'1609027733','BVG Wi-Fi','00:81:C4:91:11:70','1','-81','0', '0'
'1609027733','qwerz','00:81:C4:91:11:72','1','-81','3', '0'
'1609027733','BVG Wi-Fi','00:81:C4:6E:6E:30','6','-70','0', '0'
'1609027733','qwerz','00:81:C4:6E:6E:32','6','-68','3', '0'
'1609027733','BVG Wi-Fi','00:81:C4:F8:8E:40','11','-52','0', '0'
'1609027733','qwerz','00:81:C4:F8:8E:42','11','-52','3', '0'
'1609027734','BVG Wi-Fi','00:81:C4:90:D3:90','11','-86','0', '0'
'1609027734','qwerz','00:81:C4:90:D3:92','11','-89','3', '0'
'1609027739','BVG Wi-Fi','00:81:C4:91:11:70','1','-70','0', '0'
'1609027739','qwerz','00:81:C4:91:11:72','1','-68','3', '0'
'1609027739','qwerz','00:81:C4:6E:6E:32','6','-63','3', '0'
'1609027739','BVG Wi-Fi','00:81:C4:6E:6E:30','6','-66','0', '0'
'1609027739','BVG Wi-Fi','00:81:C4:F8:8E:40','11','-61','0', '0'
