timestamp,ssid,mac,channel,rssi,authmode,hidden
'1609030287','BVG Wi-Fi','00:81:C4:91:06:C0','1','-73','0', '0'
'1609030287','qwerz','00:81:C4:91:06:C2','1','-73','3', '0'
'1609030287','qwerz','00:81:C4:90:E6:02','11','-81','3', '0'
'1609030292','qwerz','00:81:C4:91:06:C2','1','-83','3', '0'
'1609030293','BVG Wi-Fi','00:81:C4:91:06:C0','1','-82','0', '0'
'1609030293','qwerz','00:81:C4:90:E6:02','11','-83','3', '0'
'1609030293','BVG Wi-Fi','00:81:C4:90:E6:00','11','-84','0', '0'
'1609030298','BVG Wi-Fi','00:81:C4:91:06:C0','1','-75','0', '0'
'1609030298','qwerz','00:81:C4:91:06:C2','1','-79','3', '0'
'1609030298','BVG Wi-Fi','00:81:C4:90:E6:00','11','-87','0', '0'
'1609030303','BVG Wi-Fi','00:81:C4:91:06:C0','1','-79','0', '0'
'1609030303','qwerz','00:81:C4:91:06:C2','1','-80','3', '0'
'1609030303','qwerz','00:81:C4:90:E6:02','11','-88','3', '0'
'1609030308','qwerz','00:81:C4:91:06:C2','1','-78','3', '0'
'1609030308','BVG Wi-Fi','00:81:C4:91:06:C0','1','-78','0', '0'
'1609030309','qwerz','00:81:C4:90:E6:02','11','-87','3', '0'
'1609030309','BVG Wi-Fi','00:81:C4:90:E6:00','11','-90','0', '0'
'1609030314','qwerz','00:81:C4:91:06:C2','1','-84','3', '0'
'1609030315','BVG Wi-Fi','00:81:C4:91:06:C0','1','-86','0', '0'
'1609030315','qwerz','00:81:C4:90:E6:02','11','-87','3', '0'
'1609030320','BVG Wi-Fi','00:81:C4:91:06:C0','1','-79','0', '0'
'1609030320','BVG Wi-Fi','00:81:C4:90:E6:00','11','-84','0', '0'
'1609030320','qwerz','00:81:C4:90:E6:02','11','-85','3', '0'
'1609030320','qwerz','00:81:C4:91:06:C2','1','-79','3', '0'
'1609030325','BVG Wi-Fi','00:81:C4:91:06:C0','1','-81','0', '0'
'1609030325','qwerz','00:81:C4:91:06:C2','1','-79','3', '0'
'1609030325','qwerz','00:81:C4:90:E6:02','11','-86','3', '0'
'1609030326','BVG Wi-Fi','00:81:C4:90:E6:00','11','-83','0', '0'
'1609030331','BVG Wi-Fi','00:81:C4:91:06:C0','1','-77','0', '0'
'1609030331','qwerz','00:81:C4:91:06:C2','1','-81','3', '0'
'1609030331','BVG Wi-Fi','00:81:C4:90:E6:00','11','-86','0', '0'
'1609030336','BVG Wi-Fi','00:81:C4:91:06:C0','1','-73','0', '0'
'1609030336','qwerz','00:81:C4:91:06:C2','1','-72','3', '0'
'1609030336','qwerz','00:81:C4:90:E6:02','11','-81','3', '0'
'1609030336','BVG Wi-Fi','00:81:C4:90:E6:00','11','-80','0', '0'
'1609030341','BVG Wi-Fi','00:81:C4:91:06:C0','1','-85','0', '0'
'1609030342','qwerz','00:81:C4:91:06:C2','1','-85','3', '0'
'1609030342','BVG Wi-Fi','00:81:C4:90:E6:00','11','-81','0', '0'
'1609030342','qwerz','00:81:C4:90:E6:02','11','-85','3', '0'
'1609030347','qwerz','00:81:C4:91:06:C2','1','-88','3', '0'
'1609030347','BVG Wi-Fi','00:81:C4:91:06:C0','1','-86','0', '0'
'1609030347','BVG Wi-Fi','00:81:C4:90:E6:00','11','-76','0', '0'
'1609030347','qwerz','00:81:C4:90:E6:02','11','-77','3', '0'
'1609030352','qwerz','00:81:C4:91:06:C2','1','-84','3', '0'
'1609030352','BVG Wi-Fi','00:81:C4:91:06:C0','1','-82','0', '0'
'1609030353','qwerz','00:81:C4:90:E6:02','11','-79','3', '0'
'1609030353','BVG Wi-Fi','00:81:C4:90:E6:00','11','-79','0', '0'
'1609030358','qwerz','00:81:C4:91:06:C2','1','-90','3', '0'
'1609030358','BVG Wi-Fi','00:81:C4:91:06:C0','1','-87','0', '0'
'1609030358','qwerz','00:81:C4:90:E6:02','11','-78','3', '0'
