timestamp,ssid,mac,channel,rssi,authmode,hidden
'1605920858','BVG Wi-Fi','B4:DE:31:52:A0:C0','1','-72','0', '0'
'1605920858','qwerz','B4:DE:31:52:A0:C2','1','-73','3', '0'
'1605920858','FRITZ!Box 7430 PF','F0:B0:14:12:64:46','1','-84','3', '0'
'1605920858','qwerz','00:5D:73:7D:FF:C2','6','-84','3', '0'
'1605920858','qwerz','6C:B2:AE:2C:C7:22','11','-66','3', '0'
'1605920859','BVG Wi-Fi','B4:DE:31:52:A0:60','11','-75','0', '0'
'1605920859','BVG Wi-Fi','6C:B2:AE:2C:C7:20','11','-66','0', '0'
'1605920859','qwerz','B4:DE:31:52:A0:62','11','-75','3', '0'
'1605920859','BVG Wi-Fi','B4:DE:31:59:44:40','1','-88','0', '0'
'1605920864','BVG Wi-Fi','B4:DE:31:52:A0:C0','1','-70','0', '0'
'1605920864','qwerz','B4:DE:31:52:A0:C2','1','-70','3', '0'
'1605920864','FRITZ!Box 7430 PF','F0:B0:14:12:64:46','1','-84','3', '0'
'1605920864','qwerz','00:5D:73:75:7F:E2','6','-78','3', '0'
'1605920864','BVG Wi-Fi','00:5D:73:7D:FF:C0','6','-84','0', '0'
'1605920864','BVG Wi-Fi','00:5D:73:75:7F:E0','6','-81','0', '0'
'1605920864','qwerz','00:5D:73:7D:FF:C2','6','-85','3', '0'
'1605920865','BVG Wi-Fi','B4:DE:31:59:44:40','1','-85','0', '0'
'1605920865','qwerz','B4:DE:31:59:44:42','1','-83','3', '0'
'1605920865','BVG Wi-Fi','6C:B2:AE:2C:C7:20','11','-70','0', '0'
'1605920865','qwerz','6C:B2:AE:2C:C7:22','11','-70','3', '0'
'1605920865','qwerz','B4:DE:31:52:A0:62','11','-85','3', '0'
'1605920865','BVG Wi-Fi','B4:DE:31:52:A0:60','11','-78','0', '0'
'1605920870','FRITZ!Box 7430 PF','F0:B0:14:12:64:46','1','-85','3', '0'
'1605920870','BVG Wi-Fi','B4:DE:31:52:A0:C0','1','-62','0', '0'
'1605920870','qwerz','B4:DE:31:52:A0:C2','1','-62','3', '0'
'1605920870','BVG Wi-Fi','00:5D:73:75:7F:E0','6','-81','0', '0'
'1605920871','BVG Wi-Fi','B4:DE:31:52:A0:60','11','-78','0', '0'
'1605920871','BVG Wi-Fi','6C:B2:AE:2C:C7:20','11','-76','0', '0'
'1605920871','qwerz','B4:DE:31:52:A0:62','11','-77','3', '0'
