timestamp,ssid,mac,channel,rssi,authmode,hidden
'1605921694','BVG Wi-Fi','A4:6C:2A:6C:0E:00','1','-77','0', '0'
'1605921694','qwerz','A4:6C:2A:6C:0E:02','1','-77','3', '0'
'1605921694','qwerz','A4:6C:2A:2F:65:02','1','-77','3', '0'
'1605921695','BVG Wi-Fi','A4:6C:2A:2F:65:00','1','-78','0', '0'
'1605921695','qwerz','A4:6C:2A:20:C5:42','1','-88','3', '0'
'1605921695','BVG Wi-Fi','A8:9D:21:8C:99:60','6','-38','0', '0'
'1605921695','qwerz','A8:9D:21:8C:99:62','6','-39','3', '0'
'1605921695','qwerz','A4:6C:2A:6C:10:82','11','-84','3', '0'
'1605921695','BVG Wi-Fi','A4:6C:2A:6C:10:80','11','-87','0', '0'
'1605921700','BVG Wi-Fi','A4:6C:2A:6C:0E:00','1','-76','0', '0'
'1605921700','qwerz','A4:6C:2A:6C:0E:02','1','-76','3', '0'
'1605921700','BVG Wi-Fi','A4:6C:2A:2F:65:00','1','-78','0', '0'
'1605921700','qwerz','A4:6C:2A:2F:65:02','1','-76','3', '0'
'1605921700','qwerz','A8:9D:21:8C:99:62','6','-43','3', '0'
'1605921701','BVG Wi-Fi','A8:9D:21:8C:99:60','6','-51','0', '0'
'1605921701','BVG Wi-Fi','A4:6C:2A:20:BF:90','11','-85','0', '0'
'1605921701','qwerz','A4:6C:2A:20:BF:92','11','-87','3', '0'
'1605921706','BVG Wi-Fi','A4:6C:2A:6C:0E:00','1','-67','0', '0'
'1605921706','qwerz','A4:6C:2A:6C:0E:02','1','-66','3', '0'
'1605921706','qwerz','A4:6C:2A:2F:65:02','1','-80','3', '0'
'1605921706','BVG Wi-Fi','A4:6C:2A:2F:65:00','1','-80','0', '0'
'1605921706','BVG Wi-Fi','A8:9D:21:8C:99:60','6','-66','0', '0'
'1605921706','qwerz','A8:9D:21:8C:99:62','6','-66','3', '0'
'1605921706','qwerz','A4:6C:2A:20:BF:92','11','-77','3', '0'
'1605921712','BVG Wi-Fi','A4:6C:2A:6C:0E:00','1','-64','0', '0'
'1605921712','qwerz','A4:6C:2A:6C:0E:02','1','-64','3', '0'
'1605921712','qwerz','A4:6C:2A:2F:65:02','1','-84','3', '0'
'1605921712','qwerz','A8:9D:21:8C:99:62','6','-68','3', '0'
'1605921712','BVG Wi-Fi','A8:9D:21:8C:99:60','6','-75','0', '0'
'1605921712','BVG Wi-Fi','A4:6C:2A:20:BF:90','11','-76','0', '0'
'1605921712','qwerz','A4:6C:2A:20:BF:92','11','-78','3', '0'
'1605921717','BVG Wi-Fi','A4:6C:2A:6C:0E:00','1','-55','0', '0'
'1605921717','SuSa','88:03:55:7F:8A:3A','1','-92','3', '0'
'1605921718','qwerz','A4:6C:2A:6C:0E:02','1','-56','3', '0'
'1605921718','BVG Wi-Fi','A4:6C:2A:2F:65:00','1','-81','0', '0'
'1605921718','qwerz','A4:6C:2A:2F:65:02','1','-81','3', '0'
'1605921718','qwerz','A8:9D:21:8C:99:62','6','-78','3', '0'
'1605921718','BVG Wi-Fi','A8:9D:21:8C:99:60','6','-71','0', '0'
'1605921718','BVG Wi-Fi','A4:6C:2A:20:BF:90','11','-85','0', '0'
'1605921718','qwerz','A4:6C:2A:20:BF:92','11','-84','3', '0'
