timestamp,ssid,mac,channel,rssi,authmode,hidden
'1605923459','qwerz','00:81:C4:E7:0E:02','1','-84','3', '0'
'1605923459','BVG Wi-Fi','00:81:C4:E7:0E:00','1','-84','0', '0'
'1605923459','qwerz','00:F6:63:CC:00:92','6','-68','3', '0'
'1605923459','DIRECT-D3ACD2BE','9E:AE:D3:AC:52:BE','6','-90','3', '0'
'1605923459','BVG Wi-Fi','00:F6:63:CC:00:90','6','-69','0', '0'
'1605923460','lcb-kasseBLP1','D0:C7:89:24:AD:50','11','-86','3', '0'
'1605923460','BVG Wi-Fi','00:81:C4:F6:12:80','11','-68','0', '0'
'1605923460','qwerz','00:81:C4:F6:12:82','11','-67','3', '0'
'1605923460','Print','D0:C7:89:24:AD:51','11','-84','3', '0'
'1605923465','BVG Wi-Fi','00:81:C4:E7:0E:00','1','-83','0', '0'
'1605923465','qwerz','00:81:C4:E7:0E:02','1','-82','3', '0'
'1605923465','BVG Wi-Fi','00:F6:63:CC:00:90','6','-71','0', '0'
'1605923465','DIRECT-D3ACD2BE','9E:AE:D3:AC:52:BE','6','-86','3', '0'
'1605923465','qwerz','00:F6:63:CC:00:92','6','-70','3', '0'
'1605923465','Tea','00:26:4D:7D:68:27','6','-89','4', '0'
'1605923465','BVG Wi-Fi','00:81:C4:F6:12:80','11','-74','0', '0'
'1605923466','qwerz','00:81:C4:F6:12:82','11','-73','3', '0'
'1605923466','lcb-kasseBLP1','D0:C7:89:24:AD:50','11','-85','3', '0'
'1605923466','Print','D0:C7:89:24:AD:51','11','-85','3', '0'
'1605923471','BVG Wi-Fi','00:81:C4:E7:0E:00','1','-71','0', '0'
'1605923471','qwerz','00:81:C4:E7:0E:02','1','-69','3', '0'
'1605923471','BVG Wi-Fi','00:F6:63:CC:00:90','6','-72','0', '0'
'1605923471','qwerz','00:F6:63:CC:00:92','6','-65','3', '0'
'1605923471','DIRECT-D3ACD2BE','9E:AE:D3:AC:52:BE','6','-85','3', '0'
'1605923471','BVG Wi-Fi','00:81:C4:F6:12:80','11','-77','0', '0'
'1605923471','qwerz','00:81:C4:F6:12:82','11','-76','3', '0'
'1605923472','Print','D0:C7:89:24:AD:51','11','-83','3', '0'
'1605923477','qwerz','00:81:C4:E7:0E:02','1','-77','3', '0'
'1605923477','BVG Wi-Fi','00:81:C4:E7:0E:00','1','-74','0', '0'
