timestamp,ssid,mac,channel,rssi,authmode,hidden
'1605924322','helloTess','4C:32:75:C5:90:FA','1','-64','3', '0'
'1605924322','BVG Wi-Fi','00:81:C4:93:C6:E0','1','-57','0', '0'
'1605924322','qwerz','00:81:C4:93:C6:E2','1','-56','3', '0'
'1605924322','BVG Wi-Fi','00:81:C4:90:CF:40','6','-67','0', '0'
'1605924322','qwerz','00:81:C4:90:CF:42','6','-62','3', '0'
'1605924322','BVG Wi-Fi','00:81:C4:93:C5:C0','11','-74','0', '0'
'1605924323','qwerz','00:81:C4:93:C5:C2','11','-74','3', '0'
'1605924323','qwerz','00:81:C4:91:06:72','11','-80','3', '0'
'1605924323','BVG Wi-Fi','00:81:C4:91:06:70','11','-80','0', '0'
'1605924328','helloTess','4C:32:75:C5:90:FA','1','-67','3', '0'
'1605924328','BVG Wi-Fi','00:81:C4:93:C6:E0','1','-55','0', '0'
'1605924328','qwerz','00:81:C4:93:C6:E2','1','-54','3', '0'
'1605924328','BVG Wi-Fi','00:81:C4:90:CF:40','6','-67','0', '0'
'1605924328','qwerz','00:81:C4:90:CF:42','6','-67','3', '0'
'1605924328','BVG Wi-Fi','00:81:C4:93:C5:C0','11','-73','0', '0'
'1605924328','qwerz','00:81:C4:93:C5:C2','11','-73','3', '0'
'1605924328','BVG Wi-Fi','00:81:C4:91:06:70','11','-88','0', '0'
'1605924329','qwerz','00:81:C4:91:06:72','11','-88','3', '0'
'1605924334','BVG Wi-Fi','00:81:C4:93:C6:E0','1','-54','0', '0'
'1605924334','qwerz','00:81:C4:93:C6:E2','1','-54','3', '0'
'1605924334','helloTess','4C:32:75:C5:90:FA','1','-71','3', '0'
'1605924334','BVG Wi-Fi','00:81:C4:90:CF:40','6','-67','0', '0'
'1605924334','qwerz','00:81:C4:90:CF:42','6','-66','3', '0'
'1605924334','BVG Wi-Fi','00:81:C4:93:C5:C0','11','-77','0', '0'
'1605924334','qwerz','00:81:C4:93:C5:C2','11','-76','3', '0'
'1605924334','qwerz','00:81:C4:91:06:72','11','-82','3', '0'
'1605924334','BVG Wi-Fi','00:81:C4:91:06:70','11','-81','0', '0'
'1605924340','helloTess','4C:32:75:C5:90:FA','1','-67','3', '0'
'1605924340','BVG Wi-Fi','00:81:C4:93:C6:E0','1','-55','0', '0'
'1605924340','qwerz','00:81:C4:93:C6:E2','1','-56','3', '0'
'1605924340','BVG Wi-Fi','00:81:C4:90:CF:40','6','-67','0', '0'
'1605924340','qwerz','00:81:C4:90:CF:42','6','-64','3', '0'
'1605924340','BVG Wi-Fi','00:81:C4:91:06:70','11','-77','0', '0'
'1605924340','qwerz','00:81:C4:91:06:72','11','-77','3', '0'
'1605924340','BVG Wi-Fi','00:81:C4:93:C5:C0','11','-76','0', '0'
'1605924346','helloTess','4C:32:75:C5:90:FA','1','-72','3', '0'
'1605924346','BVG Wi-Fi','00:81:C4:93:C6:E0','1','-58','0', '0'
'1605924346','qwerz','00:81:C4:93:C6:E2','1','-58','3', '0'
'1605924346','BVG Wi-Fi','00:81:C4:90:CF:40','6','-65','0', '0'
'1605924346','qwerz','00:81:C4:90:CF:42','6','-63','3', '0'
'1605924346','qwerz','00:81:C4:93:C5:C2','11','-77','3', '0'
'1605924346','BVG Wi-Fi','00:81:C4:91:06:70','11','-77','0', '0'
'1605924351','qwerz','00:81:C4:93:C6:E2','1','-72','3', '0'
'1605924352','BVG Wi-Fi','00:81:C4:93:C6:E0','1','-69','0', '0'
'1605924352','helloTess','4C:32:75:C5:90:FA','1','-88','3', '0'
'1605924352','BVG Wi-Fi','00:81:C4:90:CF:40','6','-62','0', '0'
'1605924352','qwerz','00:81:C4:90:CF:42','6','-66','3', '0'
'1605924352','qwerz','00:81:C4:91:06:72','11','-80','3', '0'
'1605924352','BVG Wi-Fi','00:81:C4:93:C5:C0','11','-79','0', '0'
'1605924352','qwerz','00:81:C4:93:C5:C2','11','-82','3', '0'
'1605924352','BVG Wi-Fi','00:81:C4:91:06:70','11','-79','0', '0'
'1605924358','helloTess','4C:32:75:C5:90:FA','1','-87','3', '0'
'1605924358','BVG Wi-Fi','00:81:C4:93:C6:E0','1','-71','0', '0'
'1605924358','qwerz','00:81:C4:93:C6:E2','1','-69','3', '0'
'1605924358','BVG Wi-Fi','00:81:C4:90:CF:40','6','-75','0', '0'
'1605924358','qwerz','00:81:C4:90:CF:42','6','-74','3', '0'
'1605924358','BVG Wi-Fi','00:81:C4:91:06:70','11','-67','0', '0'
'1605924358','qwerz','00:81:C4:91:06:72','11','-68','3', '0'
'1605924358','BVG Wi-Fi','00:81:C4:93:C5:C0','11','-82','0', '0'
'1605924359','qwerz','00:81:C4:93:C5:C2','11','-81','3', '0'
'1605924364','BVG Wi-Fi','00:81:C4:93:C6:E0','1','-69','0', '0'
'1605924364','helloTess','4C:32:75:C5:90:FA','1','-84','3', '0'
'1605924364','qwerz','00:81:C4:93:C6:E2','1','-70','3', '0'
'1605924364','qwerz','00:81:C4:90:CF:42','6','-75','3', '0'
'1605924364','BVG Wi-Fi','00:81:C4:90:CF:40','6','-76','0', '0'
'1605924364','BVG Wi-Fi','00:81:C4:91:06:70','11','-66','0', '0'
'1605924365','qwerz','00:81:C4:91:06:72','11','-66','3', '0'
'1605924365','BVG Wi-Fi','00:81:C4:93:C5:C0','11','-80','0', '0'
'1605924365','qwerz','00:81:C4:93:C5:C2','11','-83','3', '0'
'1605924370','helloTess','4C:32:75:C5:90:FA','1','-88','3', '0'
'1605924370','BVG Wi-Fi','00:81:C4:93:C6:E0','1','-73','0', '0'
'1605924370','qwerz','00:81:C4:93:C6:E2','1','-72','3', '0'
'1605924370','qwerz','00:81:C4:90:CF:42','6','-71','3', '0'
'1605924370','BVG Wi-Fi','00:81:C4:90:CF:40','6','-82','0', '0'
'1605924370','BVG Wi-Fi','00:81:C4:91:06:70','11','-60','0', '0'
'1605924370','qwerz','00:81:C4:91:06:72','11','-60','3', '0'
'1605924371','BVG Wi-Fi','00:81:C4:93:C5:C0','11','-84','0', '0'
