timestamp,ssid,mac,channel,rssi,authmode,hidden
'1609027043','BVG Wi-Fi','00:F6:63:9F:77:F0','1','-74','0', '0'
'1609027043','qwerz','00:F6:63:9F:77:F2','1','-74','3', '0'
'1609027043','BVG Wi-Fi','00:F6:63:D7:2A:70','6','-75','0', '0'
'1609027043','qwerz','00:F6:63:D7:2A:72','6','-74','3', '0'
'1609027048','BVG Wi-Fi','00:F6:63:9F:77:F0','1','-76','0', '0'
'1609027048','qwerz','00:F6:63:9F:77:F2','1','-76','3', '0'
'1609027048','BVG Wi-Fi','00:F6:63:D7:2A:70','6','-68','0', '0'
'1609027050','qwerz','00:F6:63:D7:2A:72','6','-67','3', '0'
'1609027050','BVG Wi-Fi','00:F6:63:9F:40:50','6','-87','0', '0'
'1609027050','qwerz','00:F6:63:9F:40:52','6','-86','3', '0'
'1609027050','KAMA','00:F6:63:9F:40:51','6','-86','3', '0'
'1609027055','BVG Wi-Fi','00:F6:63:9F:77:F0','1','-78','0', '0'
'1609027055','qwerz','00:F6:63:9F:77:F2','1','-77','3', '0'
'1609027055','BVG Wi-Fi','00:F6:63:D7:2A:70','6','-67','0', '0'
'1609027055','qwerz','00:F6:63:D7:2A:72','6','-68','3', '0'
'1609027055','qwerz','00:F6:63:9F:40:52','6','-88','3', '0'
'1609027061','qwerz','00:F6:63:9F:77:F2','1','-80','3', '0'
'1609027061','BVG Wi-Fi','00:F6:63:9F:77:F0','1','-80','0', '0'
'1609027061','BVG Wi-Fi','00:F6:63:D7:2A:70','6','-61','0', '0'
'1609027061','qwerz','00:F6:63:D7:2A:72','6','-62','3', '0'
'1609027061','BVG Wi-Fi','00:F6:63:9F:40:50','6','-84','0', '0'
'1609027061','qwerz','00:F6:63:9F:40:52','6','-85','3', '0'
'1609027061','KAMA','00:F6:63:9F:40:51','6','-86','3', '0'
'1609027066','qwerz','00:F6:63:9F:77:F2','1','-82','3', '0'
'1609027066','BVG Wi-Fi','00:F6:63:9F:77:F0','1','-82','0', '0'
'1609027066','BVG Wi-Fi','00:F6:63:D7:2A:70','6','-61','0', '0'
'1609027067','qwerz','00:F6:63:D7:2A:72','6','-62','3', '0'
'1609027072','BVG Wi-Fi','00:F6:63:9F:77:F0','1','-76','0', '0'
'1609027072','qwerz','00:F6:63:9F:77:F2','1','-74','3', '0'
'1609027072','BVG Wi-Fi','00:F6:63:D7:2A:70','6','-54','0', '0'
'1609027072','qwerz','00:F6:63:D7:2A:72','6','-54','3', '0'
'1609027072','BVG Wi-Fi','00:F6:63:9F:40:50','6','-84','0', '0'
'1609027072','qwerz','00:F6:63:9F:40:52','6','-85','3', '0'
'1609027072','KAMA','00:F6:63:9F:40:51','6','-84','3', '0'
'1609027078','qwerz','00:F6:63:9F:77:F2','1','-84','3', '0'
'1609027078','BVG Wi-Fi','00:F6:63:9F:77:F0','1','-84','0', '0'
'1609027078','BVG Wi-Fi','00:F6:63:D7:2A:70','6','-56','0', '0'
'1609027078','qwerz','00:F6:63:D7:2A:72','6','-56','3', '0'
'1609027078','qwerz','00:F6:63:9F:40:52','6','-88','3', '0'
'1609027083','qwerz','00:F6:63:9F:77:F2','1','-84','3', '0'
'1609027083','BVG Wi-Fi','00:F6:63:9F:77:F0','1','-85','0', '0'
'1609027083','BVG Wi-Fi','00:F6:63:D7:2A:70','6','-38','0', '0'
'1609027084','qwerz','00:F6:63:D7:2A:72','6','-48','3', '0'
'1609027084','qwerz','00:F6:63:9F:40:52','6','-87','3', '0'
'1609027084','KAMA','00:F6:63:9F:40:51','6','-85','3', '0'
'1609027084','BVG Wi-Fi','00:F6:63:9F:40:50','6','-87','0', '0'
