timestamp,ssid,mac,channel,rssi,authmode,hidden
'1605929700','qwerz','B4:DE:31:C9:D8:02','1','-63','3', '0'
'1605929700','BVG Wi-Fi','B4:DE:31:C9:D8:00','1','-63','0', '0'
'1605929701','qwerz','00:5D:73:15:89:82','6','-75','3', '0'
'1605929701','BVG Wi-Fi','00:5D:73:15:89:80','6','-75','0', '0'
'1605929701','BVG Wi-Fi','00:5D:73:81:AC:60','11','-69','0', '0'
'1605929701','qwerz','00:5D:73:81:AC:62','11','-69','3', '0'
'1605929701','BVG Wi-Fi','B4:DE:31:C6:1D:80','1','-82','0', '0'
'1605929707','qwerz','B4:DE:31:C6:1D:82','1','-83','3', '0'
'1605929707','qwerz','B4:DE:31:C9:D8:02','1','-57','3', '0'
'1605929707','BVG Wi-Fi','B4:DE:31:C9:D8:00','1','-58','0', '0'
'1605929707','BVG Wi-Fi','B4:DE:31:C6:1D:80','1','-86','0', '0'
'1605929707','qwerz','00:5D:73:15:89:82','6','-72','3', '0'
'1605929707','qwerz','00:5D:73:81:AC:62','11','-65','3', '0'
'1605929707','BVG Wi-Fi','00:5D:73:81:AC:60','11','-65','0', '0'
'1605929707','BVG Wi-Fi','00:81:C4:91:2E:F0','11','-85','0', '0'
'1605929707','qwerz','00:81:C4:91:2E:F2','11','-84','3', '0'
'1605929712','BVG Wi-Fi','B4:DE:31:C9:D8:00','1','-35','0', '0'
'1605929712','qwerz','B4:DE:31:C9:D8:02','1','-35','3', '0'
'1605929713','BVG Wi-Fi','00:5D:73:15:89:80','6','-79','0', '0'
'1605929713','qwerz','00:5D:73:15:89:82','6','-80','3', '0'
'1605929713','BVG Wi-Fi','00:5D:73:81:AC:60','11','-71','0', '0'
'1605929713','BVG Wi-Fi','00:81:C4:91:2E:F0','11','-73','0', '0'
'1605929713','qwerz','00:5D:73:81:AC:62','11','-70','3', '0'
'1605929713','qwerz','00:81:C4:91:2E:F2','11','-73','3', '0'
'1605929718','BVG Wi-Fi','B4:DE:31:C9:D8:00','1','-61','0', '0'
'1605929718','qwerz','B4:DE:31:C9:D8:02','1','-63','3', '0'
'1605929718','qwerz','00:5D:73:15:89:82','6','-82','3', '0'
'1605929718','BVG Wi-Fi','00:5D:73:15:89:80','6','-82','0', '0'
'1605929719','qwerz','00:81:C4:91:2E:F2','11','-77','3', '0'
'1605929719','qwerz','00:5D:73:81:AC:62','11','-79','3', '0'
'1605929719','BVG Wi-Fi','00:81:C4:91:2E:F0','11','-78','0', '0'
'1605929719','BVG Wi-Fi','00:5D:73:81:AC:60','11','-79','0', '0'
'1605929724','BVG Wi-Fi','B4:DE:31:C9:D8:00','1','-68','0', '0'
'1605929724','qwerz','B4:DE:31:C6:1D:82','1','-80','3', '0'
'1605929724','qwerz','B4:DE:31:C9:D8:02','1','-68','3', '0'
'1605929724','BVG Wi-Fi','B4:DE:31:C6:1D:80','1','-80','0', '0'
'1605929725','qwerz','00:5D:73:15:89:82','6','-86','3', '0'
'1605929725','BVG Wi-Fi','00:5D:73:15:89:80','6','-86','0', '0'
'1605929725','BVG Wi-Fi','00:81:C4:91:2E:F0','11','-71','0', '0'
'1605929725','BVG Wi-Fi','00:5D:73:81:AC:60','11','-70','0', '0'
'1605929725','qwerz','00:81:C4:91:2E:F2','11','-72','3', '0'
'1605929725','qwerz','00:5D:73:81:AC:62','11','-70','3', '0'
'1605929730','qwerz','B4:DE:31:C6:1D:82','1','-76','3', '0'
'1605929731','BVG Wi-Fi','B4:DE:31:C9:D8:00','1','-62','0', '0'
'1605929731','qwerz','B4:DE:31:C9:D8:02','1','-63','3', '0'
'1605929731','BVG Wi-Fi','B4:DE:31:C6:1D:80','1','-76','0', '0'
'1605929731','BVG Wi-Fi','00:5D:73:81:AC:60','11','-67','0', '0'
'1605929731','qwerz','00:5D:73:81:AC:62','11','-67','3', '0'
'1605929731','qwerz','00:81:C4:91:2E:F2','11','-85','3', '0'
'1605929731','BVG Wi-Fi','00:81:C4:91:2E:F0','11','-85','0', '0'
'1605929737','BVG Wi-Fi','B4:DE:31:C9:D8:00','1','-62','0', '0'
'1605929737','qwerz','B4:DE:31:C9:D8:02','1','-62','3', '0'
'1605929737','qwerz','B4:DE:31:C6:1D:82','1','-78','3', '0'
'1605929737','BVG Wi-Fi','B4:DE:31:C6:1D:80','1','-78','0', '0'
'1605929737','qwerz','00:5D:73:15:89:82','6','-81','3', '0'
'1605929737','qwerz','00:81:C4:91:2E:F2','11','-84','3', '0'
'1605929737','BVG Wi-Fi','00:5D:73:81:AC:60','11','-61','0', '0'
'1605929737','qwerz','00:5D:73:81:AC:62','11','-62','3', '0'
'1605929743','BVG Wi-Fi','B4:DE:31:C9:D8:00','1','-63','0', '0'
'1605929743','qwerz','B4:DE:31:C9:D8:02','1','-63','3', '0'
'1605929743','qwerz','B4:DE:31:C6:1D:82','1','-75','3', '0'
'1605929743','BVG Wi-Fi','B4:DE:31:C6:1D:80','1','-74','0', '0'
'1605929743','qwerz','00:5D:73:15:89:82','6','-78','3', '0'
'1605929743','BVG Wi-Fi','00:5D:73:81:AC:60','11','-58','0', '0'
'1605929744','qwerz','00:5D:73:81:AC:62','11','-57','3', '0'
'1605929744','qwerz','00:81:C4:91:2E:F2','11','-87','3', '0'
'1605929749','qwerz','B4:DE:31:C6:1D:82','1','-71','3', '0'
'1605929749','BVG Wi-Fi','B4:DE:31:C9:D8:00','1','-70','0', '0'
'1605929749','BVG Wi-Fi','B4:DE:31:C6:1D:80','1','-70','0', '0'
'1605929749','qwerz','B4:DE:31:C9:D8:02','1','-69','3', '0'
'1605929749','qwerz','00:5D:73:15:89:82','6','-75','3', '0'
'1605929749','BVG Wi-Fi','00:5D:73:15:89:80','6','-75','0', '0'
'1605929750','BVG Wi-Fi','00:5D:73:81:AC:60','11','-39','0', '0'
'1605929750','qwerz','00:5D:73:81:AC:62','11','-40','3', '0'
'1605929755','BVG Wi-Fi','B4:DE:31:C9:D8:00','1','-71','0', '0'
'1605929755','qwerz','B4:DE:31:C9:D8:02','1','-71','3', '0'
'1605929755','BVG Wi-Fi','B4:DE:31:C6:1D:80','1','-72','0', '0'
'1605929755','qwerz','B4:DE:31:C6:1D:82','1','-71','3', '0'
'1605929755','qwerz','00:5D:73:15:89:82','6','-73','3', '0'
'1605929755','BVG Wi-Fi','00:5D:73:15:89:80','6','-72','0', '0'
'1605929755','BVG Wi-Fi','00:5D:73:81:AC:60','11','-57','0', '0'
'1605929756','qwerz','00:5D:73:81:AC:62','11','-57','3', '0'
'1605929761','qwerz','B4:DE:31:C9:D8:02','1','-82','3', '0'
'1605929761','BVG Wi-Fi','B4:DE:31:C6:1D:80','1','-77','0', '0'
