timestamp,ssid,mac,channel,rssi,authmode,hidden
'1605926846','Employee','00:81:C4:9D:93:23','1','-88','5', '0'
'1605926851','Employee','00:81:C4:9D:93:23','1','-88','5', '0'
'1605926851','BVGMDA','00:81:C4:9D:93:21','1','-87','3', '0'
'1605926857','Employee','00:81:C4:9D:93:23','1','-82','5', '0'
'1605926857','BVG Wi-Fi','00:81:C4:9D:93:22','1','-81','0', '0'
'1605926857','BVGMDA','00:81:C4:9D:93:21','1','-81','3', '0'
'1605926862','Employee','00:81:C4:9D:93:23','1','-85','5', '0'
'1605926862','BVGMDA','00:81:C4:9D:93:21','1','-86','3', '0'
'1605926862','BVG Wi-Fi','00:81:C4:9D:93:22','1','-86','0', '0'
'1605926867','Employee','00:81:C4:9D:93:23','1','-85','5', '0'
'1605926868','BVG Wi-Fi','00:81:C4:9D:93:22','1','-87','0', '0'
'1605926868','BVGMDA','00:81:C4:9D:93:21','1','-87','3', '0'
'1605926873','BVG Wi-Fi','00:81:C4:9D:93:22','1','-88','0', '0'
'1605926873','Employee','00:81:C4:9D:93:23','1','-86','5', '0'
'1605926873','BVGMDA','00:81:C4:9D:93:21','1','-88','3', '0'
'1605926873','BBT Gast','3A:10:D5:BB:7B:21','6','-89','3', '0'
'1605926878','Employee','00:81:C4:9D:93:23','1','-84','5', '0'
'1605926878','BVG Wi-Fi','00:81:C4:9D:93:22','1','-85','0', '0'
'1605926879','BVGMDA','00:81:C4:9D:93:21','1','-87','3', '0'
'1605926885','Employee','00:81:C4:9D:93:23','1','-83','5', '0'
'1605926885','BVG Wi-Fi','00:81:C4:9D:93:22','1','-83','0', '0'
'1605926885','BVGMDA','00:81:C4:9D:93:21','1','-85','3', '0'
'1605926885','BBT-Baustelle2,4','38:10:D5:BB:7B:21','6','-89','3', '0'
'1605926885','BBT Gast','3A:10:D5:BB:7B:21','6','-89','3', '0'
'1605926890','BVGMDA','00:81:C4:9D:93:21','1','-85','3', '0'
'1605926890','BBT-Baustelle2,4','38:10:D5:BB:7B:21','6','-76','3', '0'
'1605926891','BBT Gast','3A:10:D5:BB:7B:21','6','-77','3', '0'
'1605926896','BBT-Baustelle2,4','38:10:D5:BB:7B:21','6','-72','3', '0'
'1605926896','BBT Gast','3A:10:D5:BB:7B:21','6','-71','3', '0'
'1605926901','BVGMDA','00:81:C4:9D:93:21','1','-89','3', '0'
'1605926901','BVG Wi-Fi','00:81:C4:9D:93:22','1','-87','0', '0'
'1605926901','Employee','00:81:C4:9D:93:23','1','-89','5', '0'
'1605926901','BBT Gast','3A:10:D5:BB:7B:21','6','-71','3', '0'
'1605926907','Employee','00:81:C4:9D:93:23','1','-84','5', '0'
'1605926907','BVG Wi-Fi','00:81:C4:9D:93:22','1','-83','0', '0'
'1605926907','BVGMDA','00:81:C4:9D:93:21','1','-82','3', '0'
'1605926907','BBT-Baustelle2,4','38:10:D5:BB:7B:21','6','-80','3', '0'
'1605926912','BBT Gast','3A:10:D5:BB:7B:21','6','-86','3', '0'
'1605926918','BVG Wi-Fi','00:81:C4:9D:93:22','1','-86','0', '0'
'1605926918','BVGMDA','00:81:C4:9D:93:21','1','-85','3', '0'
'1605926923','Employee','00:81:C4:9D:93:23','1','-85','5', '0'
'1605926923','BVG Wi-Fi','00:81:C4:9D:93:22','1','-84','0', '0'
'1605926923','BVGMDA','00:81:C4:9D:93:21','1','-86','3', '0'
'1605926929','BVGMDA','00:81:C4:9D:93:21','1','-82','3', '0'
'1605926929','Employee','00:81:C4:9D:93:23','1','-82','5', '0'
'1605926929','BVG Wi-Fi','00:81:C4:9D:93:22','1','-83','0', '0'
'1605926934','Employee','00:81:C4:9D:93:23','1','-82','5', '0'
'1605926934','BVGMDA','00:81:C4:9D:93:21','1','-81','3', '0'
'1605926934','BBT Gast','3A:10:D5:BB:7B:21','6','-89','3', '0'
'1605926935','BVG Wi-Fi','00:81:C4:9D:93:22','1','-86','0', '0'
'1605926940','BVGMDA','00:81:C4:9D:93:21','1','-87','3', '0'
'1605926940','Employee','00:81:C4:9D:93:23','1','-84','5', '0'
'1605926940','BVG Wi-Fi','00:81:C4:9D:93:22','1','-82','0', '0'
'1605926945','BVG Wi-Fi','00:81:C4:9D:93:22','1','-77','0', '0'
'1605926946','BVGMDA','00:81:C4:9D:93:21','1','-77','3', '0'
'1605926946','Employee','00:81:C4:9D:93:23','1','-78','5', '0'
'1605926951','BVG Wi-Fi','00:81:C4:9D:93:22','1','-85','0', '0'
'1605926951','Employee','00:81:C4:9D:93:23','1','-87','5', '0'
'1605926951','BBT-Baustelle2,4','38:10:D5:BB:7B:21','6','-84','3', '0'
'1605926951','BBT Gast','3A:10:D5:BB:7B:21','6','-86','3', '0'
'1605926952','BVGMDA','00:81:C4:9D:93:21','1','-85','3', '0'
'1605926957','BBT-Baustelle2,4','38:10:D5:BB:7B:21','6','-81','3', '0'
'1605926957','BBT Gast','3A:10:D5:BB:7B:21','6','-83','3', '0'
'1605926962','BBT-Baustelle2,4','38:10:D5:BB:7B:21','6','-81','3', '0'
'1605926963','BBT Gast','3A:10:D5:BB:7B:21','6','-80','3', '0'
